Note regarding coverage and payment indicators for codes in CMS’ 2020 HCPCS Update and DMEPOS Fee Schedule Files

If specific Medicare coverage or payment indicators or values have not been established for any new HCPCS codes, this may be because a n






  HCPC/MOD         ACTION CD       SHORT DESCRIPTION              LONG DESCRIPTION
      F3           No Change       Left hand, fourth digit        Left hand, fourth digit
      F4           No Change       Left hand, fifth digit         Left hand, fifth digit
      F5           No Change       Right hand, thumb              Right hand, thumb
      F6           No Change       Right hand, second digit       Right hand, second digit
      F7           No Change       Right hand, third digit        Right hand, third digit
      F8           No Change       Right hand, fourth digit       Right hand, fourth digit
      F9           No Change       Right hand, fifth digit        Right hand, fifth digit
      FA           No Change       Left hand, thumb               Left hand, thumb
      FB           No Change       Item provided without cost     Item provided without cost to provider, supplier or practitioner, or f
      FC           No Change       Part credit, replaced device   Partial credit received for replaced device
      FP           No Change       Svc part of family plan pgm    Service provided as part of family planning program
      FX           No Change       X-ray taken using film         X-ray taken using film
      FY           No Change       Computed radiography x-ray     X-ray taken using computed radiography technology/cassette-based imagi
      G0           No Change       Telestroke                     Telehealth services for diagnosis, evaluation, or treatment, of sympto
      G1           No Change       Urr reading of less than 60    Most recent urr reading of less than 60
      G2           No Change       Urr reading of 60 to 64.9      Most recent urr reading of 60 to 64.9
      G3           No Change       Urr  reading of 65 to 69.9     Most recent urr reading of 65 to 69.9
      G4           No Change       Urr reading of 70 to 74.9      Most recent urr reading of 70 to 74.9
      G5           No Change       Urr reading of 75 or greater   Most recent urr reading of 75 or greater
      G6           No Change       Esrd patient <6 dialysis/mth   Esrd patient for whom less than six dialysis sessions have been provid
      G7           No Change       Payment limits do not apply    Pregnancy resulted from rape or incest or pregnancy certified by physi
      G8           No Change       Monitored anesthesia care      Monitored anesthesia care (mac) for deep complex, complicated, or mark
      G9           No Change       Mac for at risk patient        Monitored anesthesia care for patient who has history of severe cardio
      GA           No Change       Liability waiver ind case      Waiver of liability statement issued as required by payer policy, indi
      GB           No Change       Claim resubmitted              Claim being re-submitted for payment because it is no longer covered u
      GC           No Change       Resident/teaching phys serv    This service has been performed in part by a resident under the direct
      GD         Discontinued      Unit of service > mue value    Units of service exceeds medically unlikely edit value and represents
      GE           No Change       Resident prim care exception   This service has been performed by a resident without the presence of
      GF           No Change       Nonphysician serv c a hosp     Non-physician (e.g. nurse practitioner (np), certified registered nurs
      GG           No Change       Payment screen mam + diagmam   Performance and payment of a screening mammogram and diagnostic mammog
      GH           No Change       Diag mammo to screening mamo   Diagnostic mammogram converted from screening mammogram on same day
      GJ           No Change       Opt out provider of er srvc    "opt out" physician or practitioner emergency or urgent service
      GK           No Change       Actual item/service ordered    Reasonable and necessary item/service associated with a ga or gz modif
      GL           No Change       Upgraded item, no charge       Medically unnecessary upgrade provided instead of non-upgraded item, n
      GM           No Change       Multiple transports            Multiple patients on one ambulance trip
      GN           No Change       Op speech language service     Services delivered under an outpatient speech language pathology plan
      GO           No Change       Op occupational therapy serv   Services delivered under an outpatient occupational therapy plan of ca
      GP           No Change       Op pt services                 Services delivered under an outpatient physical therapy plan of care
      GQ           No Change       Telehealth store and forward   Via asynchronous telecommunications system
      GR           No Change       Service by va resident         This service was performed in whole or in part by a resident in a depa
      GS           No Change       Epo/darbepoietin reduced 25%   Dosage of erythropoietin stimulating agent has been reduced and mainta
      GT           No Change       Interactivetelecommunication   Via interactive audio and video telecommunication systems
      GU           No Change       Liability waiver rout notice   Waiver of liability statement issued as required by payer policy, rout
      GV           No Change       Attending phys not hospice     Attending physician not employed or paid under arrangement by the pati
      GW           No Change       Service unrelated to term co   Service not related to the hospice patient's terminal condition
      GX           No Change       Voluntary liability notice     Notice of liability issued, voluntary under payer policy
      GY           No Change       Statutorily excluded           Item or service statutorily excluded, does not meet the definition of
      GZ           No Change       Not reasonable and necessary   Item or service expected to be denied as not reasonable and necessary
      H9           No Change       Court-ordered                  Court-ordered
      HA           No Change       Child/adolescent program       Child/adolescent program
      HB           No Change       Adult program non-geriatric    Adult program, non geriatric
      HC           No Change       Adult program geriatric        Adult program, geriatric
      HD           No Change       Pregnant/parenting program     Pregnant/parenting women's program
      HE           No Change       Mental health program          Mental health program
      HF           No Change       Substance abuse program        Substance abuse program
      HG           No Change       Opioid addiction tx program    Opioid addiction treatment program
      HH           No Change       Mental hlth/substance abs pr   Integrated mental health/substance abuse program
      HI           No Change       Men hlth intel/dev disab pgm   Integrated mental health and intellectual disability/developmental dis
      HJ           No Change       Employee assistance program    Employee assistance program
      HK           No Change       Spec hgh rsk mntl hlth pop p   Specialized mental health programs for high-risk populations
      HL           No Change       Intern                         Intern
      HM           No Change       Less than bachelor degree lv   Less than bachelor degree level
      HN           No Change       Bachelors degree level         Bachelors degree level
      HO           No Change       Masters degree level           Masters degree level
      HP           No Change       Doctoral level                 Doctoral level
      HQ           No Change       Group setting                  Group setting
      HR           No Change       Family/couple w client prsnt   Family/couple with client present
      HS           No Change       Family/couple w/o client prs   Family/couple without client present
      HT           No Change       Multi-disciplinary team        Multi-disciplinary team
      HU           No Change       Child welfare agency funded    Funded by child welfare agency
      HV           No Change       Funded state addiction agncy   Funded state addictions agency
      HW           No Change       State mntl hlth agncy funded   Funded by state mental health agency
      HX           No Change       County/local agency funded     Funded by county/local agency
      HY           No Change       Funded by juvenile justice     Funded by juvenile justice agency
      HZ           No Change       Criminal justice agncy fund    Funded by criminal justice agency
      J1           No Change       Cap no-pay for prescript num   Competitive acquisition program no-pay submission for a prescription n
      J2           No Change       Cap restock of emerg drugs     Competitive acquisition program, restocking of emergency drugs after e
      J3           No Change       Cap drug unavail thru cap      Competitive acquisition program (cap), drug not available through cap
      J4           No Change       Dmepos comp bid furn by hosp   Dmepos item subject to dmepos competitive bidding program that is furn
      JA           No Change       Administered intravenously     Administered intravenously
      JB           No Change       Administered subcutaneously    Administered subcutaneously
      JC           No Change       Skin substitute graft          Skin substitute used as a graft
      JD           No Change       Skin sub not used as a graft   Skin substitute not used as a graft
      JE           No Change       Administered via dialysate     Administered via dialysate
      JF           No Change       Compounded drug                Compounded drug
      JG           No Change       340b acquired drug             Drug or biological acquired with 340b drug pricing program discount
      JW           No Change       Discarded drug not administe   Drug amount discarded/not administered to any patient
      K0           No Change       Lwr ext prost functnl lvl 0    Lower extremity prosthesis functional level 0 - does not have the abil
      K1           No Change       Lwr ext prost functnl lvl 1    Lower extremity prosthesis functional level 1 - has the ability or pot
      K2           No Change       Lwr ext prost functnl lvl 2    Lower extremity prosthesis functional level 2 - has the ability or pot
      K3           No Change       Lwr ext prost functnl lvl 3    Lower extremity prosthesis functional level 3 - has the ability or pot
      K4           No Change       Lwr ext prost functnl lvl 4    Lower extremity prosthesis functional level 4 - has the ability or pot
      KA           No Change       Wheelchair add-on option/acc   Add on option/accessory for wheelchair
      KB           No Change       >4 modifiers on claim          Beneficiary requested upgrade for abn, more than 4 modifiers identifie
      KC           No Change       Repl special pwr wc intrface   Replacement of special power wheelchair interface
      KD           No Change       Drug/biological dme infused    Drug or biological infused through dme
      KE           No Change       Bid under round 1 dmepos cb    Bid under round one of the dmepos competitive bidding program for use
      KF           No Change       Fda class iii device           Item designated by fda as class iii device
      KG           No Change       Dmepos comp bid prgm no 1      Dmepos item subject to dmepos competitive bidding program number 1
      KH           No Change       Dmepos ini clm, pur/1 mo rnt   Dmepos item, initial claim, purchase or first month rental
      KI           No Change       Dmepos 2nd or 3rd mo rental    Dmepos item, second or third month rental
      KJ           No Change       Dmepos pen pmp or 4-15mo rnt   Dmepos item, parenteral enteral nutrition (pen) pump or capped rental,
      KK           No Change       Dmepos comp bid prgm no 2      Dmepos item subject to dmepos competitive bidding program number 2
      KL           No Change       Dmepos mailorder comp bid      Dmepos item delivered via mail
      KM           No Change       Rplc facial prosth new imp     Replacement of facial prosthesis including new impression/moulage
      KN           No Change       Rplc facial prosth old mod     Replacement of facial prosthesis using previous master model
      KO           No Change       Single drug unit dose form     Single drug unit dose formulation
      KP           No Change       First drug of multi drug u d   First drug of a multiple drug unit dose formulation
      KQ           No Change       2nd/subsqnt drg multi drg ud   Second or subsequent drug of a multiple drug unit dose formulation
      KR           No Change       Rental item partial month      Rental item, billing for partial month
      KS           No Change       Glucose monitor supply         Glucose monitor supply for diabetic beneficiary not treated with insul
      KT           No Change       Item from noncontract supply   Beneficiary resides in a competitive bidding area and travels outside
      KU           No Change       Dmepos comp bid prgm no 3      Dmepos item subject to dmepos competitive bidding program number 3
      KV           No Change       Dmepos item, profession serv   Dmepos item subject to dmepos competitive bidding program that is furn
      KW           No Change       Dmepos comp bid prgm no 4      Dmepos item subject to dmepos competitive bidding program number 4
      KX           No Change       Documentation on file          Requirements specified in the medical policy have been met
      KY           No Change       Dmepos comp bid prgm no 5      Dmepos item subject to dmepos competitive bidding program number 5
      KZ           No Change       New cov not implement by m+c   New coverage not implemented by managed care
      L1           No Change       Separately payable lab test    Provider attestation that the hospital laboratory test(s) is not packa
      LC           No Change       Lft circum coronary artery     Left circumflex coronary artery
      LD           No Change       Left ant des coronary artery   Left anterior descending coronary artery
      LL           No Change       Lease/rental (appld to pur)    Lease/rental (use the 'll' modifier when dme equipment rental is to be
      LM           No Change       Left main coronary artery      Left main coronary artery
      LR           No Change       Laboratory round trip          Laboratory round trip
      LS           No Change       Fda-monitored iol implant      Fda-monitored intraocular lens implant
      LT           No Change       Left side                      Left side (used to identify procedures performed on the left side of t
      M2           No Change       Medicare secondary payer       Medicare secondary payer (msp)
      MA              ADD          Emer med cond susp/confirm     Ordering professional is not required to consult a clinical decision s
      MB              ADD          Auc hardship, insuf internet   Ordering professional is not required to consult a clinical decision s
      MC              ADD          Auc hardship, vendor issues    Ordering professional is not required to consult a clinical decision s
      MD              ADD          Auc hardship, extreme circ     Ordering professional is not required to consult a clinical decision s
      ME              ADD          Order adheres to auc           The order for this service adheres to appropriate use criteria in the
      MF              ADD          Order does not adhere to auc   The order for this service does not adhere to the appropriate use crit
      MG              ADD          Auc not applicable to order    The order for this service does not have applicable appropriate use cr
      MH              ADD          Auc consult not provided       Unknown if ordering professional consulted a clinical decision support
      MS           No Change       6-mo maint/svc fee parts/lbr   Six month maintenance and servicing fee for reasonable and necessary p
      NB           No Change       Drug specific nebulizer        Nebulizer system, any type, fda-cleared for use with specific drug
      NR           No Change       New when rented                New when rented (use the 'nr' modifier when dme which was new at the t
      NU           No Change       New equipment                  New equipment
      P1           No Change       Normal healthy patient         A normal healthy patient
      P2           No Change       Patient w/mild syst disease    A patient with mild systemic disease
      P3           No Change       Patient w/severe sys disease   A patient with severe systemic disease
      P4           No Change       Pt w/sev sys dis threat life   A patient with severe systemic disease that is a constant threat to li
      P5           No Change       Pt not expect surv w/o oper    A moribund patient who is not expected to survive without the operatio
      P6           No Change       Brain-dead pt organs removed   A declared brain-dead patient whose organs are being removed for donor
      PA           No Change       Surgery, wrong body part       Surgical or other invasive procedure on wrong body part
      PB           No Change       Surgery, wrong patient         Surgical or other invasive procedure on wrong patient
      PC           No Change       Wrong surgery on patient       Wrong surgery or other invasive procedure on patient
      PD           No Change       Inp admit w/in 3 days          Diagnostic or related non diagnostic item or service provided in a who
      PI           No Change       Pet tumor init tx strat        Positron emission tomography (pet) or pet/computed tomography (ct) to
      PL           No Change       Progressive addition lenses    Progressive addition lenses
      PM           No Change       Post mortem                    Post mortem
      PN           No Change       Non-excepted off-campus svc    Non-excepted service provided at an off-campus, outpatient, provider-b
      PO           No Change       Excepted off-campus service    Excepted service provided at an off-campus, outpatient, provider-based
      PS           No Change       Pet tumor subsq tx strategy    Positron emission tomography (pet) or pet/computed tomography (ct) to
      PT           No Change       Clrctal screen to diagn        Colorectal cancer screening test; converted to diagnostic test or othe
      Q0           No Change       Invest clinical research       Investigational clinical service provided in a clinical research study
      Q1           No Change       Routine clinical research      Routine clinical service provided in a clinical research study that is
      Q2           No Change       Demo procedure, service        Demonstration procedure/service
      Q3           No Change       Live donor surgery/services    Live kidney donor surgery and related services
      Q4           No Change       Svc exempt - ordrg/rfrng md    Service for ordering/referring physician qualifies as a service exempt
      Q5           No Change       Recip bill arr subs md or pt   Service furnished under a reciprocal billing arrangement by a substitu
      Q6           No Change       Fee/time comp subst md or pt   Service furnished under a fee-for-time compensation arrangement by a s
      Q7           No Change       One class a finding            One class a finding
      Q8           No Change       Two class b findings           Two class b findings
      Q9           No Change       1 class b & 2 class c fndngs   One class b and two class c findings
      QA           No Change       Avg sta day/night o2 < 1 lpm   Prescribed amounts of stationary oxygen for daytime use while at rest
      QB           No Change       Avg day/nite o2 > 4 lpm/port   Prescribed amounts of stationary oxygen for daytime use while at rest
      QC           No Change       Single channel monitoring      Single channel monitoring
      QD           No Change       Rcrdg/strg in sld st memory    Recording and storage in solid state memory by a digital recorder
      QE           No Change       Stationary o2 @ rest <1 lpm    Prescribed amount of stationary oxygen while at rest is less than 1 li
      QF           No Change       Station o2 @ rest >4lpm/port   Prescribed amount of stationary oxygen while at rest exceeds 4 liters
      QG           No Change       Station o2 @ rest > 4 lpm      Prescribed amount of stationary oxygen while at rest is greater than 4
      QH           No Change       Oxygen cnsrvg dvc w del sys    Oxygen conserving device is being used with an oxygen delivery system
      QJ           No Change       Patient in state/locl custod   Services/items provided to a prisoner or patient in state or local cus
      QK           No Change       Med dir 2-4 cncrnt anes proc   Medical direction of two, three, or four concurrent anesthesia procedu
      QL           No Change       Patient died after amb call    Patient pronounced dead after ambulance called
      QM           No Change       Ambulance arr by provider      Ambulance service provided under arrangement by a provider of services
      QN           No Change       Ambulance furn by provider     Ambulance service furnished directly by a provider of services
      QP           No Change       Individually ordered lab tst   Documentation is on file showing that the laboratory test(s) was order
      QQ           No Change       Qualified cdsm consulted       Ordering professional consulted a qualified clinical decision support
      QR           No Change       Avg sta day/night o2 > 4 lpm   Prescribed amounts of stationary oxygen for daytime use while at rest
      QS           No Change       Monitored anesthesia care      Monitored anesthesia care service
      QT           No Change       Rcrdg/strg tape analog recdr   Recording and storage on tape by an analog tape recorder
      QW           No Change       Clia waived test               Clia waived test
      QX           No Change       Crna svc w/ md med direction   Crna service: with medical direction by a physician
      QY           No Change       Medically directed crna        Medical direction of one certified registered nurse anesthetist (crna)
      QZ           No Change       Crna svc w/o med dir by md     Crna service: without medical direction by a physician
      RA           No Change       Replacement of dme item        Replacement of a dme, orthotic or prosthetic item
      RB           No Change       Replacement part, dme item     Replacement of a part of a dme, orthotic or prosthetic item furnished
      RC           No Change       Right coronary artery          Right coronary artery
      RD           No Change       Drug admin not incident-to     Drug provided to beneficiary, but not administered "incident-to"
      RE           No Change       Furnish full compliance rems   Furnished in full compliance with fda-mandated risk evaluation and mit
      RI           No Change       Ramus intermedius cor artery   Ramus intermedius coronary artery
      RR           No Change       Rental (dme)                   Rental (use the 'rr' modifier when dme is to be rented)
      RT           No Change       Right side                     Right side (used to identify procedures performed on the right side of
      SA           No Change       Nurse practitioner w physici   Nurse practitioner rendering service in collaboration with a physician
      SB           No Change       Nurse midwife                  Nurse midwife
      SC           No Change       Medically necessary serv/sup   Medically necessary service or supply
      SD           No Change       Serv by home infusion rn       Services provided by registered nurse with specialized, highly technic
      SE           No Change       State/fed funded program/ser   State and/or federally-funded programs/services
      SF           No Change       2nd opinion ordered by pro     Second opinion ordered by a professional review organization (pro) per
      SG           No Change       Asc facility service           Ambulatory surgical center (asc) facility service
      SH           No Change       2nd concurrent infusion ther   Second concurrently administered infusion therapy
      SJ           No Change       3rd concurrent infusion ther   Third or more concurrently administered infusion therapy
      SK           No Change       High risk population           Member of high risk population (use only with codes for immunization)
      SL           No Change       State supplied vaccine         State supplied vaccine
      SM           No Change       Second opinion                 Second surgical opinion
      SN           No Change       Third opinion                  Third surgical opinion
      SQ           No Change       Item ordered by home health    Item ordered by home health
      SS           No Change       Hit in infusion suite          Home infusion services provided in the infusion suite of the iv therap
      ST           No Change       Related to trauma or injury    Related to trauma or injury
      SU           No Change       Performed in phys office       Procedure performed in physician's office (to denote use of facility a
      SV           No Change       Drugs delivered not used       Pharmaceuticals delivered to patient's home but not utilized
      SW           No Change       Serv by cert diab educator     Services provided by a certified diabetic educator
      SY           No Change       Contact w/high-risk pop        Persons who are in close contact with member of high-risk population (
      SZ           No Change       Habilitative services          Habilitative services
      T1           No Change       Left foot, second digit        Left foot, second digit
      T2           No Change       Left foot, third digit         Left foot, third digit
      T3           No Change       Left foot, fourth digit        Left foot, fourth digit
      T4           No Change       Left foot, fifth digit         Left foot, fifth digit
      T5           No Change       Right foot, great toe          Right foot, great toe
      T6           No Change       Right foot, second digit       Right foot, second digit
      T7           No Change       Right foot, third digit        Right foot, third digit
      T8           No Change       Right foot, fourth digit       Right foot, fourth digit
      T9           No Change       Right foot, fifth digit        Right foot, fifth digit
      TA           No Change       Left foot, great toe           Left foot, great toe
      TB           No Change       Tracking 340b acquired drug    Drug or biological acquired with 340b drug pricing program discount, r
      TC           No Change       Technical component            Technical component; under certain circumstances, a charge may be made
      TD           No Change       Rn                             Rn
      TE           No Change       Lpn/lvn                        Lpn/lvn
      TF           No Change       Intermediate level of care     Intermediate level of care
      TG           No Change       Complex/high tech level care   Complex/high tech level of care
      TH           No Change       Ob tx/srvcs prenatl/postpart   Obstetrical treatment/services, prenatal or postpartum
      TJ           No Change       Child/adolescent program gp    Program group, child and/or adolescent
      TK           No Change       Extra patient or passenger     Extra patient or passenger, non-ambulance
      TL           No Change       Early intervention ifsp        Early intervention/individualized family service plan (ifsp)
      TM           No Change       Individualized ed prgrm(iep)   Individualized education program (iep)
      TN           No Change       Rural/out of service area      Rural/outside providers' customary service area
      TP           No Change       Med transprt unloaded vehicl   Medical transport, unloaded vehicle
      TQ           No Change       Bls by volunteer amb providr   Basic life support transport by a volunteer ambulance provider
      TR           No Change       School-based iep out of dist   School-based individualized education program (iep) services provided
      TS           No Change       Follow-up service              Follow-up service
      TT           No Change       Additional patient             Individualized service provided to more than one patient in same setti
      TU           No Change       Overtime payment rate          Special payment rate, overtime
      TV           No Change       Holiday/weekend payment rate   Special payment rates, holidays/weekends
      TW           No Change       Back-up equipment              Back-up equipment
      U1           No Change       M/caid care lev 1 state def    Medicaid level of care 1, as defined by each state
      U2           No Change       M/caid care lev 2 state def    Medicaid level of care 2, as defined by each state
      U3           No Change       M/caid care lev 3 state def    Medicaid level of care 3, as defined by each state
      U4           No Change       M/caid care lev 4 state def    Medicaid level of care 4, as defined by each state
      U5           No Change       M/caid care lev 5 state def    Medicaid level of care 5, as defined by each state
      U6           No Change       M/caid care lev 6 state def    Medicaid level of care 6, as defined by each state
      U7           No Change       M/caid care lev 7 state def    Medicaid level of care 7, as defined by each state
      U8           No Change       M/caid care lev 8 state def    Medicaid level of care 8, as defined by each state
      U9           No Change       M/caid care lev 9 state def    Medicaid level of care 9, as defined by each state
      UA           No Change       M/caid care lev 10 state def   Medicaid level of care 10, as defined by each state
      UB           No Change       M/caid care lev 11 state def   Medicaid level of care 11, as defined by each state
      UC           No Change       M/caid care lev 12 state def   Medicaid level of care 12, as defined by each state
      UD           No Change       M/caid care lev 13 state def   Medicaid level of care 13, as defined by each state
      UE           No Change       Used durable med equipment     Used durable medical equipment
      UF           No Change       Services provided, morning     Services provided in the morning
      UG           No Change       Services provided, afternoon   Services provided in the afternoon
      UH           No Change       Services provided, evening     Services provided in the evening
      UJ           No Change       Services provided, night       Services provided at night
      UK           No Change       Svc on behalf client-collat    Services provided on behalf of the client to someone other than the cl
      UN           No Change       Two patients served            Two patients served
      UP           No Change       Three patients served          Three patients served
      UQ           No Change       Four patients served           Four patients served
      UR           No Change       Five patients served           Five patients served
      US           No Change       Six or more patients served    Six or more patients served
      V1           No Change       Demonstration modifier 1       Demonstration modifier 1
      V2           No Change       Demonstration modifier 2       Demonstration modifier 2
      V3           No Change       Demonstration modifier 3       Demonstration modifier 3
      V5           No Change       Vascular catheter              Vascular catheter (alone or with any other vascular access)
      V6           No Change       Arteriovenous graft            Arteriovenous graft (or other vascular access not including a vascular
      V7           No Change       Arteriovenous fistula          Arteriovenous fistula only (in use with two needles)
      V8           No Change       Infection present              Infection present
      V9           No Change       No infection present           No infection present
      VM           No Change       Mdpp virtual make-up session   Medicare diabetes prevention program (mdpp) virtual make-up session
      VP           No Change       Aphakic patient                Aphakic patient
      X1           No Change       Continuous/broad services      Continuous/broad services: for reporting services by clinicians, who p
      X2           No Change       Continuous/focused services    Continuous/focused services: for reporting services by clinicians whos
      X3           No Change       Episodic/broad services        Episodic/broad servies: for reporting services by clinicians who have
      X4           No Change       Episodic/focused services      Episodic/focused services: for reporting services by clinicians who pr
      X5           No Change       Svc req by another clinician   Diagnostic services requested by another clinician: for reporting serv
      XE           No Change       Separate encounter             Separate encounter, a service that is distinct because it occurred dur
      XP           No Change       Separate practitioner          Separate practitioner, a service that is distinct because it was perfo
      XS           No Change       Separate organ/structure       Separate structure, a service that is distinct because it was performe
      XU           No Change       Unusual separate service       Unusual non-overlapping service, the use of a service that is distinct
      ZA           No Change       Novartis/sandoz                Novartis/sandoz
      ZB           No Change       Pfizer/hospira                 Pfizer/hospira
      ZC           No Change       Merck/samsung bioepis          Merck/samsung bioepis
   A0021           No Change       Outside state ambulance serv   Ambulance service, outside state per mile, transport (medicaid only)
   A0080           No Change       Noninterest escort in non er   Non-emergency transportation, per mile - vehicle provided by volunteer
   A0090           No Change       Interest escort in non er      Non-emergency transportation, per mile - vehicle provided by individua
   A0100           No Change       Nonemergency transport taxi    Non-emergency transportation; taxi
   A0110           No Change       Nonemergency transport bus     Non-emergency transportation and bus, intra or inter state carrier
   A0120           No Change       Noner transport mini-bus       Non-emergency transportation: mini-bus, mountain area transports, or o
   A0130           No Change       Noner transport wheelch van    Non-emergency transportation: wheelchair van
   A0140           No Change       Nonemergency transport air     Non-emergency transportation and air travel (private or commercial) in
   A0160           No Change       Noner transport case worker    Non-emergency transportation: per mile - case worker or social worker
   A0170           No Change       Transport parking fees/tolls   Transportation ancillary: parking fees, tolls, other
